tool_name,parameters,original_description
Chimp Rewriter,"{
    ""parameters"": {
        ""email"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""User\u2019s Chimp Rewriter account email. Note that the user requires a Chimp Rewriter Pro subscription.""
        },
        ""apikey"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""User\u2019s API key. Get one on the Chimp Rewriter User Management page.""
        },
        ""aid"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Application ID. Set this to a string (100 charachers or less) to identify your application to the server. At this point, applications do not require registration.""
        },
        ""globalspin"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        },
        ""quality"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Spin quality: 5 \u2013 Best, 4 \u2013 Better, 3 \u2013 Good, 2 \u2013 Average, 1 \u2013 All"",
            ""default"": ""4""
        },
        ""posmatch"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Required Part of Speech (POS) match for a spin: 4 \u2013 FullSpin, 3 \u2013 Full, 2 \u2013 Loose, 1 \u2013 Extremely Loose, 0 \u2013 None. \u2018FullSpin\u2019 removes some common POS replacements that tend to reduce quality of spin."",
            ""default"": ""3""
        },
        ""protectedterms"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Comma separated list of words or phrases to protect from spin i.e. \u2018my main keyword,my second keyword\u2019"",
            ""default"": ""Empty""
        },
        ""rewrite"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""If set to 1, results are returned as a rewritten article with no Spintax. Otherwise, an article with Spintax is returned. Note that with rewrite as 1, the original word will always be removed."",
            ""default"": ""0""
        },
        ""phraseignorequality"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""If set to 1, quality is ignored when finding phrase replacements for phrases. This results in a huge amount of spin, but quality can vary."",
            ""default"": ""0""
        },
        ""spinwithinspin"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""If set to 1, if there is existing spin syntax in the content you send up, the API will spin any relevant content inside this syntax. If 0, the API will skip over this content and only spin outside of existing syntax."",
            ""default"": ""0""
        },
        ""spinwithinhtml"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Spin inside HTML tags. This includes <p> tags, for example if you send up \u201c<p>Here is a paragraph</p>\u201d, nothing would be spun unless spinwithinhtml is 1."",
            ""default"": ""0""
        },
        ""applyinstantunique"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""(Extra quota cost) Runs an instant unique pass over the article once spun. This replaces letters with characters that look like the original letter but have a different UTF8 value, passing copyscape 100% but garbling content to the search engines. It it recommended to protect keywords while using instant unique. Costs one extra query."",
            ""default"": ""0""
        },
        ""fullcharset"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Only used if applyinstantunique = 1. This causes IU to use the full character set which has a broader range of replacements."",
            ""default"": ""0""
        },
        ""spintidy"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""(Extra quota cost) Runs a spin tidy pass over the result article. This fixes any common a/an type grammar mistakes and repeated words due to phrase spinning. Generally increases the quality of the article. Costs one extra query."",
            ""default"": ""0""
        },
        ""tagprotect"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Protects anything between any syntax you define. Separate start and end syntax with a pipe \u2018|\u2019 and separate multiple tags with a comma \u2018,\u2019. For example, you could protect anything in square brackets by setting tagprotect=[|]. You could also protect anything between \u201cbegin\u201d and \u201cend\u201d by setting tagprotect=[|],begin|end"",
            ""default"": ""Empty""
        },
        ""maxspindepth"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Define a maximum spin level depth in returned article. If set to 1, no nested spin will appear in the spun result. This paramater only matters if rewrite is false. Set to 0 or ignore for no limit on spin depth."",
            ""default"": ""0""
        },
        ""N/A"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""To protect any piece of text, simply wrap it with ###. For example, if you had a certain paragraph or code to protect, simply send \u201cAn intro sentence. ###My protected stuff### and the rest of the article\u201d. Anything inside the hashes will not be spun. Then just replace \u2018###\u2019 with an empty string.""
        }
    },
    ""metadata"": {
        ""endpoint"": ""GlobalSpin"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Spins an article with various quality paramters and return it either with spintax or as a unique unspun document.
Deep Social,"{
    ""parameters"": {
        ""api_token"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""To buy API Token register on http://deep.social/ and check our prices here http://deep.social/prices""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Save users (only for Data Export plan)"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Influencers that were previously saved can be excluded from search results using filter[known] filter. Can be used to export unique instagram accounts to boost your influencer base. Available only with Data Export plan.
Deep Social,"{
    ""parameters"": {
        ""searchResultIds[0]"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        },
        ""api_token"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""To buy API Token register on http://deep.social/ and check our prices here http://deep.social/prices""
        },
        ""searchResultIds[1]"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Show"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
Deep Social,"{
    ""parameters"": {
        ""api_token"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""To buy API Token register on http://deep.social/ and check our prices here http://deep.social/prices""
        },
        ""filter[audience_age][0][weight]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Sets precision for the 'filter[audience_age][0][code]' filter, can be from 0 to 1, default value is 0.25. If you use multi-filter than be sure to match indexes of paired filters. For example 'filter[audience_age][0][weight]' have index 0, 'filter[audience_age][453][weight]' have index 453"",
            ""default"": ""0.1""
        },
        ""filter[audience_gender][code]"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Filter influencers by audience gender (possible values MALE or FEMALE). Use with \""filter[audience_gender][weight]\"" - precision, can be from 0 to 1, default value is 0.5"",
            ""default"": ""MALE""
        },
        ""filter[audience_gender][weight]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Sets precision for the 'filter[audience_gender][code]' filter, can be from 0 to 1, default value is 0.5"",
            ""default"": ""0.1""
        },
        ""filter[audience_geo][0][id]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Multi-filter (OR) to filter influencers by audience GEO. To get GEO ID of specific region use 'GEO dictionary' endpoint. Use with \""filter[audience_geo][0][weight]\"" - precision, can be from 0 to 1, default value is 0.05. You can specify several GEO IDs to filter influencers. For example: -d 'filter[audience_geo][1][id]=102269' \\ -d 'filter[audience_geo][1][weight]=0.1' \\ -d 'filter[audience_geo][0][id]=65606' \\ -d 'filter[audience_geo][0][weight]=0.1' \\ - this query will return influencers that have audience in ANY of this regions"",
            ""default"": ""148838""
        },
        ""filter[audience_geo][0][weight]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Sets precision for the 'filter[audience_geo][0][id]' filter, can be from 0 to 1, default value is 0.05. If you use multi-filter than be sure to match indexes of paired filters. For example 'filter[audience_geo][0][weight]' have index 0, 'filter[audience_geo][453][weight]' have index 453"",
            ""default"": ""0.1""
        },
        ""filter[audience_lang][code]"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Filter influencers by audeence language (to get language code use 'Languages dictionary' endpoint). Use with \""filter[audience_lang][weight]\"" - precision, can be from 0 to 1, default value is 0.2"",
            ""default"": ""en""
        },
        ""filter[audience_lang][weight]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Sets precision for the 'filter[audience_lang][code]' filter, can be from 0 to 1, default value is 0.2"",
            ""default"": ""0.1""
        },
        ""filter[audience_race][code]"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Filter influencers by audience skin tone (possible values: Black, Asian or White). Use with \""filter[audience_race][weight]\"" - precision, can be from 0 to 1, default value is 0.3"",
            ""default"": ""White""
        },
        ""filter[audience_race][weight]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Sets precision for the 'filter[audience_race][code]' filter, can be from 0 to 1, default value is 0.3"",
            ""default"": ""0.1""
        },
        ""filter[engagements][left_number]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Filter influencers that have likes of comments greater than specified number"",
            ""default"": ""100""
        },
        ""filter[engagements][right_number]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Filter influencers that have likes of comments less than specified number"",
            ""default"": ""100000""
        },
        ""filter[followers][left_number]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Filter influencers that have followers greater than specified number"",
            ""default"": ""5000""
        },
        ""filter[followers][right_number]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Filter influencers that have followers less than specified number"",
            ""default"": ""1000000""
        },
        ""sort[direction]"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Sets sorting, by default it is desc. You can specify custom sorting, possible values: 1, -1, asc, desc."",
            ""default"": ""desc""
        },
        ""filter[race][code]"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Filter influencers by skin tone (possible values: Black, Asian or White)."",
            ""default"": ""White""
        },
        ""filter[gender][code]"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Filter influencers by gender (possible values MALE or FEMALE)."",
            ""default"": ""FEMALE""
        },
        ""filter[lang][code]"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Filter influencers by their language (to get language code use 'Languages dictionary' endpoint)."",
            ""default"": ""en""
        },
        ""filter[audience_brand][0][id]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Multi-filter (OR) to filter influencers by audience brands. To get Brand ID use 'Brands dictionary' endpoint. Use with \""filter[audience_brand][0][weight]\"" - precision, can be from 0 to 1, default value is 0.05 You can specify several Brand IDs to filter influencers. For example: -d 'filter[audience_brand][0][id]=65' \\ -d 'filter[audience_brand][0][id]=66' \\ - this query will return influencers that have ANY of this audience brands."",
            ""default"": ""956""
        },
        ""filter[audience_brand][0][weight]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Sets precision for the 'filter[audience_brand][0][id]' filter, can be from 0 to 1, default value is 0.05. If you use multi-filter than be sure to match indexes of paired filters. For example 'filter[audience_brand][0][weight]' have index 0, 'filter[audience_brand][453][weight]' have index 453."",
            ""default"": ""0.01""
        },
        ""filter[brand_category][0]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Multi-filter (AND) to filter influencers by interests. To get Interest ID use 'Interests dictionary' endpoint. You can specify several Interest IDs to filter influencers. For example: -d 'filter[brand_category][0]=2' \\ -d 'filter[brand_category][1]=20' \\ - this query will return influencers that have ALL of this interests."",
            ""default"": ""74""
        },
        ""paging[skip]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": """",
            ""default"": ""1""
        },
        ""paging[limit]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": """",
            ""default"": ""1""
        },
        ""sort[field]"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Sort influencers by filter type. Possible values: \""followers\"", \""engagements\"", \""lang\"", \""gender\"", \""race\"", \""geo\"", \""audience_lang\"", \""audience_gender\"", \""audience_age\"", \""audience_race\"", \""audience_geo\"", \""audience_brand_category\"", \""audience_brand\"", \""audience_gender_per_age\"""",
            ""default"": ""geo""
        },
        ""filter[audience_age][0][code]"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Multi-filter (OR) to filter influencers by audience age. Possible age ranges are: \""13-17\"", \""18-24\"", \""25-34\"", \""35-44\"", \""45-64\"", \""65-\"". Use with \""filter[audience_age][0][weight]\"" - precision, can be from 0 to 1, default value is 0.25. You can specify several age ranges to filter influencers. For example: -d 'filter[audience_age][0][code]=13-17' \\ -d 'filter[audience_age][1][code]=18-24' \\ - this query will return influencers that have ANY of this age ranges"",
            ""default"": ""25-34""
        },
        ""filter[age][left_number]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Filter influencers that older than specified number of years."",
            ""default"": ""16""
        },
        ""filter[age][right_number]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Filter influencers that younger than specified number of years."",
            ""default"": ""80""
        },
        ""filter[audience_brand_category][0][id]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Multi-filter (AND) to filter influencers by audience interests. To get Interest ID use 'Interests dictionary' endpoint. Use with \""filter[audience_brand_category][0][weight]\"" - precision, can be from 0 to 1, default value is 0.1 You can specify several Interest IDs to filter influencers. For example: -d 'filter[audience_brand_category][0][id]=2' \\ -d 'filter[audience_brand_category][1][id]=20' \\ - this query will return influencers that have ALL of this audience interests."",
            ""default"": ""3""
        },
        ""filter[audience_brand_category][0][weight]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Sets precision for the 'filter[audience_brand_category][0][id]' filter, can be from 0 to 1, default value is 0.1. If you use multi-filter than be sure to match indexes of paired filters. For example 'filter[audience_brand_category][0][weight]' have index 0, 'filter[audience_brand_category][453][weight]' have index 453."",
            ""default"": ""0.01""
        },
        ""filter[brand][0]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Multi-filter (OR) to filter influencers by brands. To get Brand ID use 'Brands dictionary' endpoint. You can specify several Brand IDs to filter influencers. For example: -d 'filter[brand][0]=65' \\ -d 'filter[brand][1]=66' \\ - this query will return influencers that have ANY of this Brands."",
            ""default"": ""338""
        },
        ""filter[geo][0][id]"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Multi-filter (OR) to filter influencers in specific GEO region. To get GEO ID of specific region use 'GEO dictionary' endpoint. You can specify several GEO IDs to filter influencers. For example: -d 'filter[geo][1][id]=102269' \\ -d 'filter[geo][0][id]=65606' \\ - this query will return influencers that have ANY of this regions."",
            ""default"": ""148838""
        },
        ""filter[known]"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Add this filter with value 'unknown' to hide saved users. To save users use 'save-known' endpoint. Available only with Data Export plan.""
        },
        ""filter[has_email]"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Add this filter with any value to hide users without contact info. To see contact info in response you need to have Data Export plan.""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Search"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Search influencers using filters. To request access contact sales info@deep.social
Deep Social,"{
    ""parameters"": {
        ""url"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Instagram user url or account name or social ID"",
            ""default"": ""beyonce""
        },
        ""api_token"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Prepaid token. Get 10 free tokens http://deep.social/register""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Sampling"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Get analytics using limited prepaid token. Get 10 free tokens http://deep.social/register
👋 Demo Project,"{
    ""parameters"": {
        ""id"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Add to Order"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
👋 Demo Project,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Create Order"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
👋 Demo Project,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Create Product"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
👋 Demo Project,"{
    ""parameters"": {
        ""id"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Place Order"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
👋 Demo Project,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Create User (Sign Up)"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
👋 Demo Project,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Login"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
Dynamic  Designers QR Code,"{
    ""parameters"": {
        ""file"": {
            ""type"": ""binary"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Logo Upload"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","Upload logo to be displayed on your QR Code. After uploading successfully, you will get file name in return. Send the file name in config object's logo  parameter. You can also upload your logo at following url:
https://www.qrgraphix.com/upload-logo

For upload file size limit is 500 KB"
Dynamic  Designers QR Code,"{
    ""parameters"": {
        ""config"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""You can define Body Shape, eye shapes, eyeball shapes.\nYou can define Background Color, body color,  eyes color, eyeballs color.\nDefine logo to displayed on the QR Code.\nDefine output format "",
            ""default"": ""{\""body\"":\""diamond\"",\""bgColor\"":\""#FFFFFF\"",\""bodyColor\"":\""#417505\"",\""eye\"":\""frame2\"",\""eyeball\"":\""ball2\"",\""logo\"":\""#facebook\"",\""file\"":\""PNG\""}""
        },
        ""data"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Data to be encoded in the QR Code. You can encode text, url, EMAIL, PHONE, SMS, VCARD, LOCATION, FACEBOOK Profile page, TWITTER Page, YOUTUBE Page, WIFI Settings, EVENT Detail, BITCOIN Detail\nFor new line, send \\r\\n  in your text."",
            ""default"": ""https://www.qrgraphix.com""
        },
        ""size"": {
            ""type"": ""number"",
            ""required"": false,
            ""description"": ""Size from 50-2000 in pixels"",
            ""default"": ""1000""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Custom QR Codes"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}","You can customize your QR Code Body Shape, eye shape, eyeball shape, background color, body color, eye color, eye ball color, logo, size and output format."
FreePlanwithHardLimit,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to return""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getPetById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a single pet
FreePlanwithHardLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""getInventory"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a map of status codes to quantities
FreePlanwithHardLimit,"{
    ""parameters"": {
        ""orderId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be fetched""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getOrderById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",For valid response try integer IDs with value >= 1 and <= 10. Other values will generated exceptions
FreePlanwithHardLimit,"{
    ""parameters"": {
        ""password"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The password for login in clear text""
        },
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The user name for login""
        }
    },
    ""metadata"": {
        ""endpoint"": ""loginUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
FreePlanwithHardLimit,"{
    ""parameters"": {
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The name that needs to be fetched. Use user1 for testing. ""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getUserByName"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
FreePlanwithHardLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""logoutUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
FreePlanwithHardLimit,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be updated""
        },
        ""name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated name of the pet""
        },
        ""status"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated status of the pet""
        }
    },
    ""metadata"": {
        ""endpoint"": ""updatePetWithForm"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
FreePlanwithHardLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithListInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
FreePlanwithHardLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""addPet"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
FreePlanwithHardLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""placeOrder"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
FreePlanwithHardLimit,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to update""
        }
    },
    ""metadata"": {
        ""endpoint"": ""uploadFile"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
FreePlanwithHardLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithArrayInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
FreePlanwithHardLimit,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUser"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",This can only be done by the logged in user.
Glasshat,"{
    ""parameters"": {
        ""project_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of the project to retrieve details."",
            ""default"": ""None""
        },
        ""apikey"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Glasshat API licence key."",
            ""default"": ""None""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/project/{project_id}/update (Update project)"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Modify a single project's settings.
Glasshat,"{
    ""parameters"": {
        ""apikey"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Glasshat API licence key."",
            ""default"": ""None""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/project/create (Create project)"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Create project
Glasshat,"{
    ""parameters"": {
        ""client_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of the client to retrieve details."",
            ""default"": ""None""
        },
        ""apikey"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Glasshat API licence key."",
            ""default"": ""None""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/client/{client_id}/delete (Delete client)"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Remove a client.
Glasshat,"{
    ""parameters"": {
        ""task_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of task action to retrieve details."",
            ""default"": ""None""
        },
        ""apikey"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Glasshat API licence key."",
            ""default"": ""None""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/task/{task_id}/update (Update action task)"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","Change action task status. Mark an action as planned, finished, and/or declined."
Glasshat,"{
    ""parameters"": {
        ""apikey"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Glasshat API licence key."",
            ""default"": ""None""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/client/create (Create client)"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Create a new client under the Glasshat account. Note an error will be returned if you've reached the maximum number of clients allowed for your Glasshat account.
Glasshat,"{
    ""parameters"": {
        ""project_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of the project to retrieve details."",
            ""default"": ""None""
        },
        ""apikey"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Glasshat API licence key."",
            ""default"": ""None""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/project/{project_id}/delete (Delete project)"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Remove a project.
Glasshat,"{
    ""parameters"": {
        ""client_id"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of the client to retrieve details."",
            ""default"": ""None""
        },
        ""apikey"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""Glasshat API licence key."",
            ""default"": ""None""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/client/{client_id}/update (Update client)"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Modify the client.
Keyword Suggestion API,"{
    ""parameters"": {
        ""keyword"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""API""
        },
        ""country_code"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""us""
        },
        ""language_code"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""en""
        }
    },
    ""metadata"": {
        ""endpoint"": ""All"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",This will give you all keywords releated to your queried keyword
Keyword Suggestion API,"{
    ""parameters"": {
        ""keyword"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""API""
        },
        ""country_code"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""us""
        },
        ""language_code"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""en""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Alphabetical"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",This will give you alphabetical releated to your queried keyword
Keyword Suggestion API,"{
    ""parameters"": {
        ""keyword"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""api""
        },
        ""country_code"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""us""
        },
        ""language_code"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""en""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Comparisons"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",This will give you comparisons releated to your queried keyword
Keyword Suggestion API,"{
    ""parameters"": {
        ""keyword"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""API""
        },
        ""language_code"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""en""
        },
        ""country_code"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""us""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Preposition"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",This will give you preposition releated to your queried keyword
Keyword Suggestion API,"{
    ""parameters"": {
        ""keyword"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""API""
        },
        ""country_code"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""us""
        },
        ""language_code"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""en""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Questions"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",This will give you questions releated to your queried keyword
Keyword Suggestion API,"{
    ""parameters"": {
        ""keyword"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""api""
        },
        ""language_code"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""en""
        },
        ""country_code"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": """",
            ""default"": ""us""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Releated"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",This will give you releated keywords for your queried keyword
Lab 1,"{
    ""parameters"": {
        ""id"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """"
        }
    },
    ""metadata"": {
        ""endpoint"": ""Place Order"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
Lab 1,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Create Product"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
